,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
389,Vivian,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/NH-icon-Vivian_00.png/revision/latest/scale-to-width-down/248?cb=20200224182316,Female,Snooty,Wolf,January 26 (Aquarius),Aquarius,"""piffle""",Subdued printAFe+Dogtooth TeeNL,Unknown,Dusting,Makeup Artist,"Blend, Lots of milk, 3 spoonfuls of sugar",Iconic,K.K. Cruisin',"AFe+, NL, NH",250,138,https://www.animalcrossingportal.com/images/villagers/icons/vivian.png,1st May 2020,Tier 5
7,Admiral,https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/Admiral_HD.png/revision/latest/scale-to-width-down/350?cb=20180518160412,Male,Cranky,Bird,January 27th (Aquarius),Aquarius,"""aye aye""",Orange Pinstripe Shirt,Unknown,Writing About Pickles,Fisherman,"Blue Mountain,The regular amount of milk,2 spoonfuls of sugar",Unknown,Steep Hill,"AF, AF+, AC, AFe+, NL, NH",251,1,https://www.animalcrossingportal.com/images/villagers/icons/admiral.png,1st May 2020,Tier 6
146,Al,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b0/Al_NewHorizons.png/revision/latest?cb=20200408175037,Male,Lazy,Gorilla,October 18th (Libra),Libra,"""Ayyeeee""",Red Warmup Suit,A kid-friendly exercise room,Jumping Rope,Journalist,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,Steep Hill,"CF, NL, HHD, NH",252,2,https://www.animalcrossingportal.com/images/villagers/icons/al.png,1st May 2020,Tier 6
336,Alli,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Alli_NewHorizons.png/revision/latest?cb=20200412225958,Female,Snooty,Alligator,November 8th (Scorpio),Scorpio,"""graaagh""",Leopard Tee,A mushroom manor,Yo-Yoing,Stylist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, NH",253,3,https://www.animalcrossingportal.com/images/villagers/icons/alli.png,1st May 2020,Tier 6
113,Anchovy,https://vignette.wikia.nocookie.net/animalcrossing/images/4/40/Anchovy_NewLeaf_Official.png/revision/latest/scale-to-width-down/274?cb=20130721164756,Male,Lazy,Bird,March 4th (Pisces),Pisces,"""chuurp""","Straw Shirt (AC)Earthy Knit Shirt (WW, CF, NL)",A brand-new hat shop,Remembering Stuff,Explorer,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, NH",254,4,https://www.animalcrossingportal.com/images/villagers/icons/anchovy.png,1st May 2020,Tier 6
255,Anicotti,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2e/Anicotti_NewLeaf_Official.png/revision/latest?cb=20130721165013,Female,Peppy,Mouse,February 24th (Pisces),Pisces,"""cannoli""","Desert Shirt (AC)Peachy Tee (NL, PC)",A pizza-party space,Oversleeping,Photographer,"Mocha,No milk,No sugar",Flashy,Neapolitan,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",255,5,https://www.animalcrossingportal.com/images/villagers/icons/anicotti.png,1st May 2020,Tier 6
365,Astrid,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/Astrid_NL.png/revision/latest?cb=20130816174546,Female,Snooty,Kangaroo,September 8th (Virgo),Virgo,"""my pet""",Star Tee,A playful rock studio,Karaoke,Singer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,I Love You,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",256,7,https://www.animalcrossingportal.com/images/villagers/icons/astrid.png,1st May 2020,Tier 6
122,Barold,https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Barold_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161236,Male,Lazy,Cub,March 2nd (Pisces),Pisces,"""cubby""",Tiger Tee,A room for stew.,Computing,Programmer,"Blue Mountain,None at all,None at all",Historical,My Place,"NL, NH",257,8,https://www.animalcrossingportal.com/images/villagers/icons/barold.png,1st May 2020,Tier 6
344,Becky,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/Becky_NLa.png/revision/latest?cb=20200502235743,Female,Snooty,Chicken,December 9th (Sagittarius),Sagittarius,"""chicklet""","Kaffe's Shirt (AFe+)Noble Shirt (CF, NL)Renaissance dress (NH)",A classical conservatory,Writing Letters,Singer,"Mocha,Just a little bit of milk,One spoonful of sugar",Ornate,K.K. Aria,"AFe+, CF, NL, NH",258,9,https://www.animalcrossingportal.com/images/villagers/icons/becky.png,1st May 2020,Tier 6
120,Benedict,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Benedict_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721172612,Male,Lazy,Chicken,October 10th (Libra),Libra,"""uh-hoo""",Two-Ball Tee,A journey through space,Remembering Stuff,Poet,"Mocha,Just a little bit of milk,One spoonful of sugar",Historical,I Love You,"AFe+, WW, CF, NH",259,10,https://www.animalcrossingportal.com/images/villagers/icons/benedict.png,1st May 2020,Tier 6
198,Bertha,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Bertha_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721172833,Female,Normal,Hippo,April 25th (Taurus),Taurus,"""bloop""",Pink Tartan Shirt (AFe+)  Funky-Dot Tee (NL),A ton of baskets,Drawing Circles,Lawyer,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Iconic,Space K.K.,"AF, AF+, AC, AFe+, NL, NH",260,11,https://www.animalcrossingportal.com/images/villagers/icons/bertha.png,1st May 2020,Tier 6
208,Bettina,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Bettina_NH.png/revision/latest?cb=20200308192230,Female,Normal,Mouse,June 12th (Gemini),Gemini,"""eekers""",Chef's Outfit,A famous patisserie,Forgetting Stuff,Chef,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Official,K.K. Swing,"CF, NL, NH",261,12,https://www.animalcrossingportal.com/images/villagers/icons/bettina.png,1st May 2020,Tier 6
138,Big Top,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Big_Top_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130707210448,Male,Lazy,Elephant,October 3rd (Libra),Libra,"""villain""",No. 3 Shirt,A superhero cafeteria,Tiptoeing,Superhero,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Metal,"AFe+, WW, CF, NL, HHD, PC, NH",262,13,https://www.animalcrossingportal.com/images/villagers/icons/big-top.png,1st May 2020,Tier 6
85,Biff,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Biff_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721173751,Male,Jock,Hippo,March 29th (Aries),Aries,"""squirt""",Jagged Tee,A sci-fi space,Limboing,Basketball Player,"Mocha,No milk,No sugar",Flashy,The K. Funk,"AF, AF+, AC, AFe+, NL, NH",263,14,https://www.animalcrossingportal.com/images/villagers/icons/biff.png,1st May 2020,Tier 6
362,Bitty,https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/Bitty_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163632,Female,Snooty,Hippo,October 6th (Libra),Libra,"""my dear""",Funky Dot Tee,Cute homey,Stomping Around,Designer,"Mocha, None at all, None at all",Cute,K.K. Disco,"AF, AF+, AC, AFe+, NL, NH",264,15,https://www.animalcrossingportal.com/images/villagers/icons/bitty.png,1st May 2020,Tier 6
82,Boone,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Boone_NewHorizons.png/revision/latest/scale-to-width-down/350?cb=20200408115254,Male,Jock,Gorilla,September 12th (Virgo),Virgo,"""baboom""",Comfy Sweater,A desert paradise,Dancing,Rugby Player,"Blend,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Western,"WW, CF, NL, HHD, PC, NH",265,16,https://www.animalcrossingportal.com/images/villagers/icons/boone.png,1st May 2020,Tier 6
42,Boris,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/BorisACNL.png/revision/latest?cb=20161211203109,Male,Cranky,Pig,November 6th (Scorpio),Scorpio,"""schnort""","Kafei's Shirt (AFe+)Splendid Tee (NL, PC)",Unknown,Tongue Twisters,Singer,"Kilimanjaro,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. House,"AF, AF+, AC, AFe+, NL, NH",266,17,https://www.animalcrossingportal.com/images/villagers/icons/boris.png,1st May 2020,Tier 6
27,Boyd,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Boyd_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163411,Male,Cranky,Gorilla,October 1st (Libra),Libra,"""uh-oh""",Good-fortune clothes,Unknown,Baton Twirling,Pro Wrestler,"Mocha,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Groove,"AFe+, NL, NH",267,18,https://www.animalcrossingportal.com/images/villagers/icons/boyd.png,1st May 2020,Tier 6
155,Broccolo,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Broccolo_NewLeaf_Official.png/revision/latest?cb=20130721175332,Male,Lazy,Mouse,June 30th (Cancer),Cancer,"""eat it""",Kiddie Tee,A bug house,Climbing Trees,Movie Director,"Blend, The regular amount of milk,  Two spoonfuls of sugar",Flashy,K.K. Ragtime,"AFe+, CF, NL, HHD, PC, NH",268,19,https://www.animalcrossingportal.com/images/villagers/icons/broccolo.png,1st May 2020,Tier 6
345,Broffina,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/BroffinaHHD.png/revision/latest/scale-to-width-down/297?cb=20160315043436,Female,Snooty,Chicken, October 24th (Scorpio),Scorpio,"""cluckadoo""",Fiendish ShirtRumba dress (red variant)(NH),A bus station.,Typing,Translator,"Blend,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Flamenco,"NL, HHD, NH",269,20,https://www.animalcrossingportal.com/images/villagers/icons/broffina.png,1st May 2020,Tier 6
87,Buck,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/-Buck_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20200415135129,Male,Jock,Horse,April 4th (Aries),Aries,"""pardner""",Eight-Ball TeeGray Sweatshirt(NH),A locker room,Vaulting,Basketball Player,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,My Place,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",270,21,https://www.animalcrossingportal.com/images/villagers/icons/buck.png,1st May 2020,Tier 6
251,Bubbles,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Bubbles_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721175520,Female,Peppy,Hippo,September 18th (Virgo),Virgo,"""hipster""",Crossing Shirt (GCN) Grape Tee (NL),An indoor beach,Limboing,Volleyball Player,"Mocha,No milk,No sugar",Sporty,K.K. Stroll,"AF, AF+, AC, AFe+, NL, NH",271,22,https://www.animalcrossingportal.com/images/villagers/icons/bubbles.png,1st May 2020,Tier 6
20,Buzz,https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Buzz_NH.png/revision/latest/scale-to-width-down/350?cb=20200226235618,Male,Cranky,Eagle,December 7th (Sagittarius),Sagittarius,"""captain""",Racer 6 Shirt(AF-NL)9-Ball Tee (NH),Unknown,Fishing,Chef,"Blue mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Rally,"AF, AF+, AC, AFe+, NL, NH",272,23,https://www.animalcrossingportal.com/images/villagers/icons/buzz.png,1st May 2020,Tier 6
257,Candi,https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Candi_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164813,Female,Peppy,Mouse,April 13th,Unknown,"""sweetie""",Ancient Knit (AFe+) Deer Shirt (NL),Unknown,Home Repair,Judge,"Kilimanjaro, Lots of milk, 3 spoonfuls of sugar",Historical,K.K. Ragtime,"AF, AF+, AFe+, NL, NH",273,24,https://www.animalcrossingportal.com/images/villagers/icons/candi.png,1st May 2020,Tier 6
201,Carrie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/Carrie_HD.png/revision/latest/scale-to-width-down/350?cb=20180405153741,Female,Normal,Kangaroo,December 5th (Sagittarius),Sagittarius,"""little one""",Toad Tee,A garden for kids to play in,Making Budgets,Illustrator,"Mocha, none at all, none at all",Unknown,K.K. Lullaby,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",274,25,https://www.animalcrossingportal.com/images/villagers/icons/carrie.png,1st May 2020,Tier 6
380,Cashmere,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Cashmere_NH.png/revision/latest/scale-to-width-down/350?cb=20200312021827,Female,Snooty,Sheep,April 2nd (Aries),Aries,"""baaaby""",Nebula Shirt,Unknown,Peeling Apples,Chef,"Blend,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Country,"AF, AF+, AC, AFe+, NL, NH",275,26,https://www.animalcrossingportal.com/images/villagers/icons/cashmere.png,1st May 2020,Tier 6
28,Cesar,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/-Cesar_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130708032553,Male,Cranky,Gorilla,September 6th (Virgo),Virgo,"""highness""","Two-Ball Tee (AC)A Tee (AF, AF+, AFe+, WW, CF, NL)",A construction site,Vaulting,Basketball Player,"Blend,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, NH",276,27,https://www.animalcrossingportal.com/images/villagers/icons/cesar.png,1st May 2020,Tier 6
327,Chadder,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Chadder_NH.png/revision/latest?cb=20200321101735,Male,Smug,Mouse,December 15th (Sagittarius),Sagittarius,"""fromage""",Tuxedo,A cheesy place to nibble.,Cramming For Tests,Actor,"Kilamanjaro,Lots of milk,Three spoonfuls of sugar",Official,K.K. Soul,"NL, HHD, PC, NH",277,28,https://www.animalcrossingportal.com/images/villagers/icons/chadder.png,1st May 2020,Tier 6
330,Chops,https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Chops_NH.png/revision/latest/scale-to-width-down/270?cb=20200312184054,Male,Smug,Pig,October 13th (Libra),Libra,"""zoink""",Red Ringmaster Coat,A king's chamber,Making Crafts,Politician,"Mocha,No milk,No sugar",Ornate,K.K. Moody,"NL,HHD, NH",278,29,https://www.animalcrossingportal.com/images/villagers/icons/chops.png,1st May 2020,Tier 6
2,Chow,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Chow_NewHorizons.png/revision/latest?cb=20200408112145,Male,Cranky,Bear,July 22nd (Cancer),Cancer,"""aiya""","Star Tee (AF, AC, WW. CF. NL)Gold-print Tee (NH)",A humble abode,Trivia,Chef,"Blend,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, NH",279,30,https://www.animalcrossingportal.com/images/villagers/icons/chow.png,1st May 2020,Tier 6
164,Claude,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/Claude_NH.png/revision/latest/scale-to-width-down/256?cb=20200322125457,Male,Lazy,Rabbit,December 3rd (Sagittarius),Sagittarius,"""hopalong""",Dark Polka Tee,A pro-Nintendo game shop.,Calculating Tips,Superhero,"Blend, None at all, None at all",Unknown,Pondering,"AF, AF+, AC, AFe+NL, HHD, NH",280,31,https://www.animalcrossingportal.com/images/villagers/icons/claude.png,1st May 2020,Tier 6
387,Claudia,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Claudia_NH.png/revision/latest/scale-to-width-down/283?cb=20200308194357,Female,Snooty,Tiger,November 22nd (Scorpio),Scorpio,"""ooh la la""",Spring Shirt,Unknown,Stomping Around,Ceo,"Mocha,A little bit of milk,One spoonful of sugar",Ornate,K.K. Synth,"NL, HHD, PC, NH",281,32,https://www.animalcrossingportal.com/images/villagers/icons/claudia.png,1st May 2020,Tier 6
364,Cleo,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Cleo_HD.png/revision/latest/scale-to-width-down/350?cb=20180405152002,Female,Snooty,Horse,February 9th (Aquarius),Aquarius,"""sugar""",Silk Bloom shirt,Unknown,Juggling,Dermatologist,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,K.K. Synth,"AF, AF+, AC, AFe+, NL, NH",282,33,https://www.animalcrossingportal.com/images/villagers/icons/cleo.png,1st May 2020,Tier 6
148,Clyde,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/Clyde_NewHorizons.png/revision/latest?cb=20200407223055,Male,Lazy,Horse,May 1st (Taurus),Taurus,"""clip-clawp""",Bubble Gum Tee,A fresh and fruity room,Pretending To Sleep,Superhero,"Blend,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dixie,"CF, NL, NH",283,34,https://www.animalcrossingportal.com/images/villagers/icons/clyde.png,1st May 2020,Tier 6
62,Coach,https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Coach_HHD.png/revision/latest?cb=20160624003056,Male,Jock,Bull,April 29th (Taurus),Taurus,"""stubble""",Relay Tank,A gym for athletic contests,Eating Quickly,Fisherman,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,Marine Song 2001,"NL, NH",284,35,https://www.animalcrossingportal.com/images/villagers/icons/coach.png,1st May 2020,Tier 6
99,Cobb,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/Cobb_NewLeaf_Official.png/revision/latest/scale-to-width-down/262?cb=20130721181251,Male,Jock,Pig,October 7th (Libra),Libra,"""hot dog""",Racer Tee,A secret research lab,Debating,Teacher,"Blue Mountain,A little bit of milk,One spoonful of sugar",Official,Pondering,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",285,36,https://www.animalcrossingportal.com/images/villagers/icons/cobb.png,1st May 2020,Tier 6
24,Croque,https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Croque_HHD.png/revision/latest?cb=20161013031016,Male,Cranky,Frog,July 18th (Cancer),Cancer,"""as if""",Imperial Shirt,A noodle shop,Bunting,Architect,"Kilamanjaro,None at all,None at all",Iconic,K.K. Jongara,"NL, NH",286,37,https://www.animalcrossingportal.com/images/villagers/icons/croque.png,1st May 2020,Tier 6
100,Curly,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/Curly.png/revision/latest?cb=20130521000319,Male,Jock,Pig,July 26th (Leo),Leo,"""nyoink""",Green-Bar Tee,A game-development studio,Clearing My Plate,Explorer,"Blue Mountain,A little bit of milk,One spoonful of sugar",Basic,K.K. Reggae,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",287,38,https://www.animalcrossingportal.com/images/villagers/icons/curly.png,1st May 2020,Tier 6
3,Curt,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Nhcurt.png/revision/latest?cb=20200223062124,Male,Cranky,Bear,July 1st (Cancer),Cancer,"""fuzzball""",MVP Tee,A glory-days trophy room,Whistling,Carpenter,"Mocha,None at all,None at all",Iconic,K.K. Lament,"AFe+, WW, CF, NL, HHD, PC, NH",288,39,https://www.animalcrossingportal.com/images/villagers/icons/curt.png,1st May 2020,Tier 6
1,Cyrano,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Cyrano.png/revision/latest/scale-to-width-down/350?cb=20130718135136,Male,Cranky,Anteater,March 9th (Pisces),Pisces,"""ah-CHOO""","Wave Shirt (AF, AF+, AC, AFe+)Dawn Tee (WW, CF, NL)",An odd-numbers gallery,Whistling,Journalist,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Faire,"AF, AF+, AC, AFe+, WW, CF, NL, NH, Dōbutsu no Mori",289,40,https://www.animalcrossingportal.com/images/villagers/icons/cyrano.png,1st May 2020,Tier 6
187,Deena,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/Deena_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708033218,Female,Normal,Duck,June 27th (Cancer),Cancer,"""woowoo""","Rainbow Shirt (AC)Kiddie Tee (WW, CF, NL)",A home gym,Blowing Bubbles,Illustrator,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Modern,Mr. K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",290,41,https://www.animalcrossingportal.com/images/villagers/icons/deena.png,1st May 2020,Tier 6
134,Derwin,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/Derwin_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708033351,Male,Lazy,Duck,May 25th (Gemini),Gemini,"""derrrrr""",Yellow-Bar Tee,A private study space,Brainteasers,Doctor,"Blend, None at all, None at all",Official,The K. Funk,"AF, AF+, AC, AFe+, WW, CF, NL, NH",291,42,https://www.animalcrossingportal.com/images/villagers/icons/derwin.png,1st May 2020,Tier 6
135,Drake,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d9/Drake_NewLeaf_Official.png/revision/latest?cb=20130818040432,Male,Lazy,Duck,June 25th (Cancer),Cancer,"""quacko""",Folk Shirt,A break room with a view,Rock Paper Scissors,Cartoonist,"Blend,None at all,None at all",Modern,K.K. Blues,"WW, CF, NL, HHD, PC, NH",292,43,https://www.animalcrossingportal.com/images/villagers/icons/drake.png,1st May 2020,Tier 6
